text,label,type,voice
您的快递涉嫌藏毒，需要配合调查,fraud,冒充公检法人员诈骗,zh-CN-YunyangNeural
你的账户涉嫌洗钱，通缉令正在下发,fraud,冒充公检法人员诈骗,zh-CN-YunyangNeural
我是公安局民警，您涉嫌一起重大刑事案件,fraud,冒充公检法人员诈骗,zh-CN-YunyangNeural
您的身份信息被他人盗用，涉嫌洗钱犯罪,fraud,冒充公检法人员诈骗,zh-CN-YunyangNeural
为了证明您的清白，需要将资金转入安全账户进行核查,fraud,冒充公检法人员诈骗,zh-CN-YunyangNeural
这是中央督办的案件，不能告诉当地警方,fraud,冒充公检法人员诈骗,zh-CN-YunyangNeural
您的银行卡已被人用于犯罪活动，需要做资金清查,fraud,冒充公检法人员诈骗,zh-CN-YunyangNeural
请下载指定软件进行笔录制作和资金清查,fraud,冒充公检法人员诈骗,zh-CN-YunyangNeural
您的社保卡、医保卡涉嫌冒用，需要冻结处理,fraud,冒充公检法人员诈骗,zh-CN-YunyangNeural
现在为您转接外省公安机关，请配合调查,fraud,冒充公检法人员诈骗,zh-CN-YunyangNeural
您有一笔贷款额度可使用，低利息、免担保、秒放贷,fraud,网络贷款诈骗,zh-CN-YunxiNeural
无抵押、无担保、秒到账、不查征信,fraud,网络贷款诈骗,zh-CN-YunxiNeural
您的银行卡号填写错误，导致贷款资金被冻结,fraud,网络贷款诈骗,zh-CN-YunxiNeural
需要先缴纳解冻费才能提现贷款,fraud,网络贷款诈骗,zh-CN-YunxiNeural
您的银行流水不足，需要刷流水验资,fraud,网络贷款诈骗,zh-CN-YunxiNeural
需要支付激活费、保证金、手续费才能放款,fraud,网络贷款诈骗,zh-CN-YunxiNeural
下载我们的APP，输入验证码即可快速放款,fraud,网络贷款诈骗,zh-CN-YunxiNeural
您的征信评分不足，需要先支付验证金,fraud,网络贷款诈骗,zh-CN-YunxiNeural
贷款已审批成功，今日就能下款,fraud,网络贷款诈骗,zh-CN-YunxiNeural
需要购买指定商品才能解冻贷款资金,fraud,网络贷款诈骗,zh-CN-YunxiNeural
亲，在家就能赚钱，刷单返利日结200元，零成本,fraud,兼职刷单诈骗,zh-CN-XiaoyiNeural
动动手指点个单，一单返5元，多刷多赚,fraud,兼职刷单诈骗,zh-CN-XiaoyiNeural
学生兼职首选！每天花1小时，轻松赚够生活费,fraud,兼职刷单诈骗,zh-CN-XiaoyiNeural
零门槛、无垫付，点赞关注就给钱，首单立返10元,fraud,兼职刷单诈骗,zh-CN-XiaoyiNeural
专属学生渠道，安全无风险，多刷多赚，日入200+,fraud,兼职刷单诈骗,zh-CN-XiaoyiNeural
现在有联单任务，3单一组，垫付1000元完成返还1300元,fraud,兼职刷单诈骗,zh-CN-XiaoxiaoNeural
专属进阶任务，垫付5000元，佣金高达20%,fraud,兼职刷单诈骗,zh-CN-XiaoyiNeural
今天是活动日，返利翻倍，错过今天就没机会了,fraud,兼职刷单诈骗,zh-CN-XiaoyiNeural
任务只有3个名额，先到先得,fraud,兼职刷单诈骗,zh-CN-XiaoxiaoNeural
限时1小时，超时就取消返利,fraud,兼职刷单诈骗,zh-CN-XiaoyiNeural
您的账户存在异常，需要做联单任务才能解锁,fraud,兼职刷单诈骗,zh-CN-XiaoxiaoNeural
系统检测到您的操作违规，需要充值才能恢复账户,fraud,兼职刷单诈骗,zh-CN-XiaoyiNeural
需要先做3单助力才能提现佣金,fraud,兼职刷单诈骗,zh-CN-XiaoxiaoNeural
高佣金返利任务，名额有限，先到先得,fraud,兼职刷单诈骗,zh-CN-XiaoyiNeural
下载APP做任务，日入300-500元,fraud,兼职刷单诈骗,zh-CN-XiaoyiNeural
新手任务做满10单，佣金翻倍,fraud,兼职刷单诈骗,zh-CN-XiaoxiaoNeural
我在用手机赚外快,fraud,杀猪盘诈骗,zh-CN-XiaoyiNeural
高频彩中奖频率特别高，跟着我买稳赚,fraud,杀猪盘诈骗,zh-CN-XiaoxiaoNeural
玩一下试试，我保证你赚钱,fraud,杀猪盘诈骗,zh-CN-XiaoyiNeural
借钱凑一下吧，赚笔大的就完事了,fraud,杀猪盘诈骗,zh-CN-XiaoxiaoNeural
请考虑下我们和父母的未来,fraud,杀猪盘诈骗,zh-CN-XiaoyiNeural
成为VIP可以赚更多钱,fraud,杀猪盘诈骗,zh-CN-XiaoxiaoNeural
再贷一点吧，下把赢了就翻盘,fraud,杀猪盘诈骗,zh-CN-XiaoyiNeural
我不方便视频，以后再见面,fraud,杀猪盘诈骗,zh-CN-XiaoyiNeural
我能骗你什么呢？,fraud,杀猪盘诈骗,zh-CN-XiaoxiaoNeural
有紧急情况，把聊天记录全删掉,fraud,杀猪盘诈骗,zh-CN-XiaoyiNeural
我在某平台有内部消息，能带您一起赚钱,fraud,杀猪盘诈骗,zh-CN-XiaoxiaoNeural
考虑下我们的未来，一起努力赚钱买房,fraud,杀猪盘诈骗,zh-CN-XiaoyiNeural
这个投资项目回报率很高，我也是为你好,fraud,杀猪盘诈骗,zh-CN-XiaoxiaoNeural
先小额试试，亏了算我的,fraud,杀猪盘诈骗,zh-CN-XiaoyiNeural
我认识平台内部人员，可以修改赔率,fraud,杀猪盘诈骗,zh-CN-XiaoxiaoNeural
先把钱转给我，我帮你操作,fraud,杀猪盘诈骗,zh-CN-XiaoyiNeural
我们这个平台有漏洞，趁现在赶紧投资,fraud,杀猪盘诈骗,zh-CN-XiaoyiNeural
宝贝，我带你赚的钱够我们结婚了,fraud,杀猪盘诈骗,zh-CN-XiaoyiNeural
亲爱的，有个稳赚的项目带你一起做,fraud,杀猪盘诈骗,zh-CN-XiaoxiaoNeural
小哥哥，裸聊吗？,fraud,裸聊敲诈,zh-CN-YunjianNeural
你刚才裸聊的视频我们已经录下来了,fraud,裸聊敲诈,zh-CN-YunjianNeural
你的通讯录我们都有了，不转钱就发给你家人,fraud,裸聊敲诈,zh-CN-YunjianNeural
花钱消灾吧，不然让你的亲朋好友都看到,fraud,裸聊敲诈,zh-CN-YunjianNeural
先转2000元安抚费，否则视频会群发出去,fraud,裸聊敲诈,zh-CN-YunjianNeural
