text,label,type,voice
请问您是王先生吗？我是链家的，您之前在贝壳上留过翠苑那套房子的电话,ad,房地产推销,zh-CN-YunyangNeural
李女士您好，我是贝壳找房的，您之前看过曙光小区的房子，有一套同户型的刚出来,ad,房地产推销,zh-CN-XiaoxiaoNeural
王先生您好，我是万科翡翠公园的，您之前看过我们项目，现在二期正在认筹,ad,房地产推销,zh-CN-YunyangNeural
您好，请问您是陈女士吗？我是碧桂园凤凰城的，您之前在我们公众号留过电话,ad,房地产推销,zh-CN-XiaoxiaoNeural
刘先生您好，我是链家的，您之前看过我们置地公园那套房子，今天调价了,ad,房地产推销,zh-CN-YunyangNeural
您好，打扰一下，阳光公园里下周开盘，我们这有内推名额，单价便宜三千左右,ad,房地产推销,zh-CN-YunjianNeural
您好，请问您是孙先生吗？我是保利天汇的，您之前来看过我们公寓，现在有一批工抵房,ad,房地产推销,zh-CN-XiaoxiaoNeural
周女士您好，我是融创的，您之前关注的那个盘，这周六要开了,ad,房地产推销,zh-CN-YunyangNeural
先生您好，给您推荐一套，性价比确实高，首付二十来万，月供不到五千,ad,房地产推销,zh-CN-YunjianNeural
您好，我们这边有个新开的盘，学区地铁都有，要不要了解一下,ad,房地产推销,zh-CN-XiaoxiaoNeural
张先生您好，我是太平洋人寿的，今天打扰您是想跟您聊聊保险的事,ad,保险推销,zh-CN-YunyangNeural
您好，请问您是李女士吗？我是平安人寿的，我们有个老客户的回馈活动，想跟您说一声,ad,保险推销,zh-CN-XiaoxiaoNeural
王先生您好，我是中国人寿的，您之前了解过我们这边的方案,ad,保险推销,zh-CN-YunyangNeural
您好，请问您是陈女士吗？我是太平洋保险的，您这边保险配置还齐全吗,ad,保险推销,zh-CN-XiaoxiaoNeural
刘先生您好，我是太平人寿的，给您打个电话，耽误您两分钟,ad,保险推销,zh-CN-YunyangNeural
您好，打扰您一下，我是平安健康的，想花您一分钟介绍一下,ad,保险推销,zh-CN-XiaoxiaoNeural
孙先生您好，我是中国人保的，给您做一个免费的保单分析,ad,保险推销,zh-CN-YunyangNeural
您好，请问您是周女士吗？我是平安的，您家里小朋友的保险买了吗,ad,保险推销,zh-CN-XiaoxiaoNeural
吴先生您好，我是泰康的，您之前说考虑过养老社区的事,ad,保险推销,zh-CN-YunyangNeural
您好，请问您是郑女士吗？我是新华保险的，您这边保障型产品配了吗,ad,保险推销,zh-CN-XiaoxiaoNeural
您好，我们这边有款产品月交几百块，能保上百万的重疾,ad,保险推销,zh-CN-YunjianNeural
女士您好，给您通知一下，您的保单下个月就到期了,ad,保险推销,zh-CN-XiaoxiaoNeural
张伟同学家长您好，我是学而思的，您家孩子这学期学习怎么样,ad,教育培训,zh-CN-XiaoxiaoNeural
您好，请问您是李明家长吗？我是学而思的，您之前咨询过数学的课程,ad,教育培训,zh-CN-XiaoyiNeural
