text,label,type,voice,augment_reverb,augment_noise,augment_speed,augment_low_quality,augment_volume,augment_pitch
喂妈，我下班了，晚上回来吃饭，路上顺便买点菜,normal,正常通话,zh-CN-XiaoxiaoNeural,0,0,1,0,0.95,-1
爸，周末回不回家？好久没见了想你们了,normal,正常通话,zh-CN-XiaoxiaoNeural,0,0.005,1,0.05,1,0
妈，今天加班不回去吃了，冰箱里有菜你自己热一下,normal,正常通话,zh-CN-XiaoxiaoNeural,0,0,1,0.05,1,0
爸，我快递到了没？帮我收一下，是个鞋盒子,normal,正常通话,zh-CN-YunjianNeural,0.02,0.005,1.05,0,1,1
妈你血压最近怎么样？药按时吃了吗,normal,正常通话,zh-CN-YunxiNeural,0,0,1.15,0,1,0
喂，你到哪了？我们都到了，菜已经上齐了,normal,正常通话,zh-CN-XiaoyiNeural,0.02,0,1,0,1,0
姐，妈生日快到了，咱们合计一下买什么,normal,正常通话,zh-CN-YunxiNeural,0.03,0.005,1,0,1.05,0
我明天到火车站，大概下午三点，你方便来接我吗,normal,正常通话,zh-CN-YunjianNeural,0,0.003,1,0.05,1,-1
妈，天气预报说这两天降温，你多穿点别感冒了,normal,正常通话,zh-CN-YunjianNeural,0.03,0.005,1,0.08,0.95,0
儿子作业写完没，写完才能看电视啊,normal,正常通话,zh-CN-XiaoyiNeural,0.03,0,1,0,1,0
我到了，你们在哪一桌？靠窗那个是吧,normal,正常通话,zh-CN-YunyangNeural,0.06,0,1,0,1,0
哥，老家那边房子的事你问了吗,normal,正常通话,zh-CN-YunxiNeural,0.06,0,1.1,0.08,0.95,1
姥爷身体怎么样，最近有去医院复查吗,normal,正常通话,zh-CN-XiaoyiNeural,0.02,0.003,1.05,0,1.05,-1
妈你帮我给班主任回个电话，我有事来不及,normal,正常通话,zh-CN-YunjianNeural,0.02,0,1,0,0.95,0
我今晚值班不回来了，你们先吃不用等我,normal,正常通话,zh-CN-YunyangNeural,0.03,0,1,0.05,1.05,0
这个周末天气不错，要不带爸妈去郊区转转,normal,正常通话,zh-CN-XiaoyiNeural,0.06,0.003,1.05,0.08,1,0
你嫂子生了，是个女孩，七斤二两,normal,正常通话,zh-CN-YunxiNeural,0.02,0,1.15,0.05,1,0
明天下雨，出门带伞，办公室有把伞你先用,normal,正常通话,zh-CN-YunjianNeural,0.04,0.005,1.05,0,0.95,0
妈我上次放家里的文件你帮我快递过来行吗,normal,正常通话,zh-CN-YunjianNeural,0.04,0,1,0,0.95,-1
你妹妹高考成绩这两天出，紧张得不行,normal,正常通话,zh-CN-XiaoyiNeural,0.06,0.003,1.1,0,1,0
二叔打电话说表弟要结婚了，国庆前后,normal,正常通话,zh-CN-YunjianNeural,0.04,0.005,1,0.05,0.95,-1
冰箱里还有前天剩的菜，你中午热一下,normal,正常通话,zh-CN-XiaoxiaoNeural,0.06,0.005,1,0.08,1,0
我给你转了生活费了，你查一下到账没,normal,正常通话,zh-CN-YunxiNeural,0.04,0,1.05,0,1.05,-1
妈你那个咳嗽去医院看了没，别拖,normal,正常通话,zh-CN-YunxiNeural,0.05,0,1.1,0,1.05,0
周末几家人一起吃个饭吧，好久没聚了,normal,正常通话,zh-CN-YunjianNeural,0.05,0,1,0,0.95,1
喂，周末有空没？好久没聚了约个火锅,normal,正常通话,zh-CN-YunjianNeural,0,0.005,1,0,0.95,0
老王啊，下周三我搬家，你有空过来搭把手吗,normal,正常通话,zh-CN-YunxiNeural,0.03,0,1,0,1,0
